district,disaster_type,severity,season,num_households,avg_damage_level,pct_elderly,pct_children_u5,pct_disabled,avg_household_size,total_funding
Berea,Heavy Rainfall,Low,Autumn,48,2.96,0.1,0.15,0.06,5.5,2386500
Mohale's Hoek,Strong Winds,Moderate,Spring,64,2.48,0.13,0.19,0.07,6.0,1966500
Maseru,Drought,Critical,Winter,317,1.65,0.08,0.12,0.05,4.5,1894500
Maseru,Heavy Rainfall,Low,Winter,22,3.09,0.08,0.12,0.05,4.5,1161500
Qacha's Nek,Drought,Critical,Spring,288,1.64,0.15,0.22,0.09,7.0,2005000
Leribe,Strong Winds,Moderate,Spring,82,2.39,0.11,0.16,0.06,5.5,2137000
Berea,Drought,Low,Winter,24,1.62,0.1,0.15,0.06,5.5,155500
Mokhotlong,Heavy Rainfall,Moderate,Spring,100,2.67,0.17,0.24,0.1,8.0,3019500
Mafeteng,Strong Winds,Critical,Winter,342,2.49,0.12,0.18,0.07,6.0,11549500
Thaba-Tseka,Heavy Rainfall,Low,Winter,27,2.81,0.16,0.23,0.09,7.5,1480000
Leribe,Strong Winds,Low,Autumn,43,2.77,0.11,0.16,0.06,5.5,2205000
Quthing,Heavy Rainfall,Moderate,Autumn,93,2.76,0.14,0.2,0.08,7.0,3795000
Maseru,Drought,Critical,Winter,363,1.62,0.08,0.12,0.05,4.5,2259500
Berea,Drought,Low,Summer,25,1.52,0.1,0.15,0.06,5.5,148000
Thaba-Tseka,Drought,Moderate,Autumn,81,1.63,0.16,0.23,0.09,7.5,568500
Leribe,Drought,Moderate,Autumn,63,1.6,0.11,0.16,0.06,5.5,405500
Berea,Heavy Rainfall,Moderate,Autumn,133,2.89,0.1,0.15,0.06,5.5,4999000
Mohale's Hoek,Heavy Rainfall,Moderate,Spring,63,2.76,0.13,0.19,0.07,6.0,2832500
Maseru,Strong Winds,Moderate,Autumn,58,2.62,0.08,0.12,0.05,4.5,2237500
Mohale's Hoek,Strong Winds,Critical,Spring,202,2.61,0.13,0.19,0.07,6.0,8372500
Leribe,Drought,Low,Spring,22,1.64,0.11,0.16,0.06,5.5,144500
Butha-Buthe,Drought,Low,Summer,40,1.6,0.14,0.19,0.08,6.5,288000
Butha-Buthe,Drought,Low,Summer,26,1.73,0.14,0.19,0.08,6.5,179500
Thaba-Tseka,Drought,Moderate,Spring,200,1.63,0.16,0.23,0.09,7.5,1432500
Mohale's Hoek,Heavy Rainfall,Low,Spring,34,2.79,0.13,0.19,0.07,6.0,1000000
Thaba-Tseka,Drought,Low,Autumn,31,1.61,0.16,0.23,0.09,7.5,228500
Qacha's Nek,Heavy Rainfall,Low,Autumn,17,2.76,0.15,0.22,0.09,7.0,518500
Thaba-Tseka,Drought,Moderate,Spring,154,1.66,0.16,0.23,0.09,7.5,1146000
Mohale's Hoek,Strong Winds,Low,Autumn,11,2.64,0.13,0.19,0.07,6.0,528500
Leribe,Strong Winds,Critical,Autumn,464,2.6,0.11,0.16,0.06,5.5,17130000
Quthing,Strong Winds,Moderate,Spring,174,2.6,0.14,0.2,0.08,7.0,6798500
Maseru,Strong Winds,Moderate,Winter,67,2.49,0.08,0.12,0.05,4.5,2012500
Leribe,Strong Winds,Critical,Winter,340,2.63,0.11,0.16,0.06,5.5,12567000
Maseru,Drought,Moderate,Summer,91,1.58,0.08,0.12,0.05,4.5,514500
Leribe,Drought,Low,Summer,15,1.73,0.11,0.16,0.06,5.5,97500
Quthing,Drought,Low,Autumn,50,1.6,0.14,0.2,0.08,7.0,351000
Mafeteng,Heavy Rainfall,Critical,Winter,301,2.74,0.12,0.18,0.07,6.0,9745000
Berea,Heavy Rainfall,Low,Autumn,13,2.85,0.1,0.15,0.06,5.5,358500
Mohale's Hoek,Strong Winds,Critical,Spring,319,2.66,0.13,0.19,0.07,6.0,12290000
Butha-Buthe,Heavy Rainfall,Low,Autumn,26,2.96,0.14,0.19,0.08,6.5,1210500
Quthing,Drought,Moderate,Winter,80,1.7,0.14,0.2,0.08,7.0,574000
Butha-Buthe,Strong Winds,Low,Summer,14,2.36,0.14,0.19,0.08,6.5,368500
Qacha's Nek,Drought,Critical,Summer,350,1.57,0.15,0.22,0.09,7.0,2386000
Leribe,Strong Winds,Critical,Autumn,429,2.53,0.11,0.16,0.06,5.5,15749500
Mohale's Hoek,Heavy Rainfall,Critical,Autumn,414,2.88,0.13,0.19,0.07,6.0,17565000
Quthing,Strong Winds,Low,Autumn,37,2.54,0.14,0.2,0.08,7.0,1553000
Quthing,Heavy Rainfall,Critical,Summer,345,2.79,0.14,0.2,0.08,7.0,13607000
Qacha's Nek,Drought,Critical,Winter,275,1.59,0.15,0.22,0.09,7.0,1890000
Mafeteng,Drought,Moderate,Winter,103,1.61,0.12,0.18,0.07,6.0,704000
Maseru,Drought,Low,Summer,21,1.52,0.08,0.12,0.05,4.5,120000
Mafeteng,Heavy Rainfall,Low,Spring,34,2.85,0.12,0.18,0.07,6.0,1350000
Butha-Buthe,Drought,Low,Summer,49,1.73,0.14,0.19,0.08,6.5,340000
Mohale's Hoek,Drought,Moderate,Winter,186,1.58,0.13,0.19,0.07,6.0,1268500
Mokhotlong,Drought,Low,Summer,20,1.75,0.17,0.24,0.1,8.0,145500
Berea,Strong Winds,Critical,Summer,443,2.54,0.1,0.15,0.06,5.5,16189000
Berea,Drought,Moderate,Winter,100,1.53,0.1,0.15,0.06,5.5,649500
Butha-Buthe,Drought,Low,Winter,40,1.7,0.14,0.19,0.08,6.5,259500
Leribe,Heavy Rainfall,Low,Spring,40,3.02,0.11,0.16,0.06,5.5,1582000
Qacha's Nek,Strong Winds,Low,Winter,46,2.54,0.15,0.22,0.09,7.0,1509500
Qacha's Nek,Heavy Rainfall,Low,Autumn,18,2.61,0.15,0.22,0.09,7.0,606500
Maseru,Strong Winds,Critical,Winter,365,2.57,0.08,0.12,0.05,4.5,13164500
Berea,Strong Winds,Moderate,Winter,170,2.44,0.1,0.15,0.06,5.5,4761500
Mafeteng,Strong Winds,Moderate,Winter,71,2.38,0.12,0.18,0.07,6.0,2337500
Qacha's Nek,Drought,Moderate,Summer,102,1.69,0.15,0.22,0.09,7.0,719000
Mohale's Hoek,Heavy Rainfall,Critical,Autumn,222,2.8,0.13,0.19,0.07,6.0,9637000
Quthing,Strong Winds,Critical,Spring,224,2.58,0.14,0.2,0.08,7.0,8459000
Mafeteng,Strong Winds,Low,Winter,23,2.61,0.12,0.18,0.07,6.0,785500
Mohale's Hoek,Drought,Critical,Autumn,304,1.61,0.13,0.19,0.07,6.0,2040000
Mokhotlong,Strong Winds,Moderate,Autumn,197,2.63,0.17,0.24,0.1,8.0,7107000
Butha-Buthe,Strong Winds,Moderate,Autumn,126,2.67,0.14,0.19,0.08,6.5,5511500
Thaba-Tseka,Strong Winds,Low,Autumn,37,2.65,0.16,0.23,0.09,7.5,1790500
Leribe,Drought,Moderate,Spring,78,1.53,0.11,0.16,0.06,5.5,509500
Berea,Heavy Rainfall,Low,Summer,50,2.98,0.1,0.15,0.06,5.5,2811000
Qacha's Nek,Drought,Critical,Spring,390,1.59,0.15,0.22,0.09,7.0,2672000
Qacha's Nek,Strong Winds,Low,Spring,22,2.32,0.15,0.22,0.09,7.0,849000
Qacha's Nek,Heavy Rainfall,Critical,Spring,219,2.89,0.15,0.22,0.09,7.0,8970000
Mohale's Hoek,Heavy Rainfall,Moderate,Spring,79,2.76,0.13,0.19,0.07,6.0,3423500
Leribe,Strong Winds,Low,Autumn,11,3.09,0.11,0.16,0.06,5.5,858500
Mohale's Hoek,Heavy Rainfall,Low,Summer,25,2.64,0.13,0.19,0.07,6.0,712500
Berea,Heavy Rainfall,Low,Spring,28,2.68,0.1,0.15,0.06,5.5,1043000
Berea,Strong Winds,Low,Autumn,26,2.54,0.1,0.15,0.06,5.5,1065000
Mohale's Hoek,Heavy Rainfall,Critical,Spring,246,2.75,0.13,0.19,0.07,6.0,8619000
Leribe,Strong Winds,Moderate,Winter,92,2.54,0.11,0.16,0.06,5.5,3430500
Butha-Buthe,Strong Winds,Critical,Autumn,203,2.51,0.14,0.19,0.08,6.5,6769500
Thaba-Tseka,Drought,Moderate,Winter,168,1.57,0.16,0.23,0.09,7.5,1175000
Mokhotlong,Drought,Low,Summer,29,1.66,0.17,0.24,0.1,8.0,211500
Mokhotlong,Heavy Rainfall,Critical,Spring,445,2.83,0.17,0.24,0.1,8.0,17753500
Leribe,Drought,Critical,Spring,358,1.59,0.11,0.16,0.06,5.5,2310500
Qacha's Nek,Heavy Rainfall,Moderate,Summer,139,2.86,0.15,0.22,0.09,7.0,5279500
Berea,Strong Winds,Critical,Summer,277,2.49,0.1,0.15,0.06,5.5,9886500
Berea,Strong Winds,Moderate,Winter,183,2.73,0.1,0.15,0.06,5.5,7540000
Qacha's Nek,Heavy Rainfall,Critical,Autumn,255,2.94,0.15,0.22,0.09,7.0,10532500
Qacha's Nek,Strong Winds,Moderate,Autumn,86,2.66,0.15,0.22,0.09,7.0,3431500
Thaba-Tseka,Strong Winds,Critical,Summer,293,2.65,0.16,0.23,0.09,7.5,12064500
Quthing,Strong Winds,Low,Summer,16,2.44,0.14,0.2,0.08,7.0,522500
Butha-Buthe,Drought,Critical,Spring,361,1.61,0.14,0.19,0.08,6.5,2503000
Mohale's Hoek,Drought,Moderate,Spring,78,1.54,0.13,0.19,0.07,6.0,548000
Berea,Heavy Rainfall,Moderate,Autumn,65,2.72,0.1,0.15,0.06,5.5,2458000
Quthing,Heavy Rainfall,Moderate,Winter,91,2.78,0.14,0.2,0.08,7.0,3250500
Quthing,Strong Winds,Low,Summer,17,2.82,0.14,0.2,0.08,7.0,806500
Quthing,Heavy Rainfall,Moderate,Spring,147,2.67,0.14,0.2,0.08,7.0,6096500
Berea,Heavy Rainfall,Low,Spring,22,3.0,0.1,0.15,0.06,5.5,889500
Qacha's Nek,Heavy Rainfall,Low,Summer,31,2.84,0.15,0.22,0.09,7.0,895500
Thaba-Tseka,Heavy Rainfall,Moderate,Autumn,196,2.88,0.16,0.23,0.09,7.5,6781000
Berea,Heavy Rainfall,Moderate,Spring,116,2.75,0.1,0.15,0.06,5.5,4000000
Mafeteng,Heavy Rainfall,Moderate,Spring,139,2.73,0.12,0.18,0.07,6.0,4378000
Berea,Heavy Rainfall,Critical,Summer,365,2.77,0.1,0.15,0.06,5.5,13897500
Mafeteng,Heavy Rainfall,Moderate,Winter,159,2.75,0.12,0.18,0.07,6.0,6473500
Mohale's Hoek,Heavy Rainfall,Low,Spring,26,2.77,0.13,0.19,0.07,6.0,855500
Qacha's Nek,Strong Winds,Moderate,Summer,168,2.51,0.15,0.22,0.09,7.0,5800500
Maseru,Drought,Moderate,Summer,55,1.76,0.08,0.12,0.05,4.5,350000
Maseru,Strong Winds,Critical,Summer,287,2.63,0.08,0.12,0.05,4.5,10989500
Leribe,Heavy Rainfall,Moderate,Autumn,191,2.82,0.11,0.16,0.06,5.5,7692000
Maseru,Drought,Moderate,Winter,83,1.6,0.08,0.12,0.05,4.5,485000
Berea,Strong Winds,Moderate,Winter,170,2.54,0.1,0.15,0.06,5.5,5271000
Qacha's Nek,Strong Winds,Moderate,Winter,140,2.66,0.15,0.22,0.09,7.0,5538500
Thaba-Tseka,Heavy Rainfall,Low,Winter,36,2.47,0.16,0.23,0.09,7.5,1106000
Qacha's Nek,Heavy Rainfall,Moderate,Winter,88,3.02,0.15,0.22,0.09,7.0,3503000
Mafeteng,Heavy Rainfall,Critical,Spring,433,2.81,0.12,0.18,0.07,6.0,17132000
Mafeteng,Strong Winds,Critical,Winter,267,2.61,0.12,0.18,0.07,6.0,10975500
Mafeteng,Strong Winds,Critical,Summer,346,2.55,0.12,0.18,0.07,6.0,13051500
Mokhotlong,Heavy Rainfall,Critical,Autumn,255,2.84,0.17,0.24,0.1,8.0,8455500
Mokhotlong,Strong Winds,Critical,Summer,325,2.59,0.17,0.24,0.1,8.0,12347000
Berea,Heavy Rainfall,Critical,Spring,237,2.75,0.1,0.15,0.06,5.5,9529500
Qacha's Nek,Strong Winds,Low,Autumn,43,2.56,0.15,0.22,0.09,7.0,1582000
Qacha's Nek,Drought,Critical,Winter,371,1.59,0.15,0.22,0.09,7.0,2618500
Berea,Drought,Moderate,Summer,154,1.55,0.1,0.15,0.06,5.5,1002500
Leribe,Drought,Moderate,Winter,108,1.61,0.11,0.16,0.06,5.5,718500
Thaba-Tseka,Drought,Moderate,Summer,147,1.56,0.16,0.23,0.09,7.5,1069000
Thaba-Tseka,Heavy Rainfall,Low,Winter,32,2.75,0.16,0.23,0.09,7.5,1389500
Thaba-Tseka,Heavy Rainfall,Moderate,Winter,152,2.73,0.16,0.23,0.09,7.5,5730000
Mokhotlong,Drought,Critical,Spring,304,1.62,0.17,0.24,0.1,8.0,2161500
Mafeteng,Heavy Rainfall,Low,Spring,22,2.95,0.12,0.18,0.07,6.0,952000
Butha-Buthe,Heavy Rainfall,Moderate,Autumn,58,2.64,0.14,0.19,0.08,6.5,1501000
Butha-Buthe,Heavy Rainfall,Moderate,Summer,148,2.76,0.14,0.19,0.08,6.5,5575000
Mafeteng,Drought,Low,Winter,50,1.72,0.12,0.18,0.07,6.0,346500
Quthing,Heavy Rainfall,Critical,Summer,431,2.82,0.14,0.2,0.08,7.0,15244000
Thaba-Tseka,Strong Winds,Moderate,Summer,179,2.72,0.16,0.23,0.09,7.5,7661500
Mohale's Hoek,Strong Winds,Moderate,Autumn,69,2.72,0.13,0.19,0.07,6.0,2719000
Quthing,Heavy Rainfall,Low,Winter,28,2.86,0.14,0.2,0.08,7.0,1139000
Qacha's Nek,Heavy Rainfall,Low,Autumn,19,2.79,0.15,0.22,0.09,7.0,691000
Maseru,Strong Winds,Moderate,Autumn,64,2.34,0.08,0.12,0.05,4.5,2164500
Thaba-Tseka,Heavy Rainfall,Low,Summer,25,2.8,0.16,0.23,0.09,7.5,1503000
Quthing,Strong Winds,Low,Autumn,32,3.06,0.14,0.2,0.08,7.0,1737500
Mafeteng,Heavy Rainfall,Critical,Spring,286,2.77,0.12,0.18,0.07,6.0,10303500
Maseru,Strong Winds,Moderate,Spring,171,2.51,0.08,0.12,0.05,4.5,6140500
Thaba-Tseka,Drought,Low,Winter,19,1.63,0.16,0.23,0.09,7.5,130000
Mafeteng,Heavy Rainfall,Moderate,Autumn,73,2.77,0.12,0.18,0.07,6.0,2513500
Butha-Buthe,Heavy Rainfall,Critical,Autumn,431,2.75,0.14,0.19,0.08,6.5,16251000
Mokhotlong,Drought,Critical,Winter,223,1.61,0.17,0.24,0.1,8.0,1608500
Mokhotlong,Strong Winds,Critical,Winter,285,2.69,0.17,0.24,0.1,8.0,10875500
Mohale's Hoek,Drought,Low,Summer,16,1.62,0.13,0.19,0.07,6.0,106500
Butha-Buthe,Strong Winds,Moderate,Spring,112,2.61,0.14,0.19,0.08,6.5,4247500
Quthing,Drought,Low,Winter,24,1.54,0.14,0.2,0.08,7.0,157500
Leribe,Drought,Moderate,Autumn,57,1.65,0.11,0.16,0.06,5.5,346500
Butha-Buthe,Strong Winds,Low,Autumn,47,2.4,0.14,0.19,0.08,6.5,1582000
Butha-Buthe,Strong Winds,Moderate,Summer,139,2.42,0.14,0.19,0.08,6.5,4112000
Mokhotlong,Strong Winds,Moderate,Spring,141,2.63,0.17,0.24,0.1,8.0,5440000
Qacha's Nek,Drought,Moderate,Summer,83,1.49,0.15,0.22,0.09,7.0,613500
Mokhotlong,Drought,Critical,Winter,314,1.58,0.17,0.24,0.1,8.0,2115000
Maseru,Strong Winds,Low,Summer,33,2.88,0.08,0.12,0.05,4.5,1364000
Mohale's Hoek,Drought,Critical,Spring,268,1.66,0.13,0.19,0.07,6.0,1856500
Quthing,Heavy Rainfall,Moderate,Spring,63,2.7,0.14,0.2,0.08,7.0,2001000
Quthing,Strong Winds,Moderate,Summer,197,2.75,0.14,0.2,0.08,7.0,7388000
Qacha's Nek,Drought,Critical,Autumn,344,1.59,0.15,0.22,0.09,7.0,2356000
Mohale's Hoek,Heavy Rainfall,Low,Winter,17,3.47,0.13,0.19,0.07,6.0,1136500
Thaba-Tseka,Strong Winds,Critical,Summer,304,2.64,0.16,0.23,0.09,7.5,12101000
Maseru,Heavy Rainfall,Moderate,Autumn,97,2.87,0.08,0.12,0.05,4.5,4375500
Mafeteng,Heavy Rainfall,Critical,Summer,296,2.77,0.12,0.18,0.07,6.0,11897000
Mafeteng,Heavy Rainfall,Critical,Summer,306,2.76,0.12,0.18,0.07,6.0,11014000
Maseru,Drought,Moderate,Winter,95,1.55,0.08,0.12,0.05,4.5,513500
Thaba-Tseka,Strong Winds,Critical,Autumn,458,2.58,0.16,0.23,0.09,7.5,16360500
Mokhotlong,Heavy Rainfall,Critical,Autumn,320,2.78,0.17,0.24,0.1,8.0,12560000
Berea,Strong Winds,Critical,Autumn,484,2.61,0.1,0.15,0.06,5.5,19035000
Mohale's Hoek,Heavy Rainfall,Critical,Autumn,447,2.88,0.13,0.19,0.07,6.0,18799000
Maseru,Drought,Moderate,Spring,151,1.7,0.08,0.12,0.05,4.5,915000
Mafeteng,Drought,Low,Summer,35,1.63,0.12,0.18,0.07,6.0,245000
Mafeteng,Drought,Critical,Spring,226,1.61,0.12,0.18,0.07,6.0,1575500
Quthing,Drought,Critical,Autumn,314,1.62,0.14,0.2,0.08,7.0,2188000
Mohale's Hoek,Strong Winds,Critical,Winter,315,2.57,0.13,0.19,0.07,6.0,11849500
Leribe,Drought,Moderate,Summer,171,1.63,0.11,0.16,0.06,5.5,1201500
Mokhotlong,Strong Winds,Low,Winter,50,2.56,0.17,0.24,0.1,8.0,1704000
Mokhotlong,Heavy Rainfall,Critical,Autumn,279,2.67,0.17,0.24,0.1,8.0,9559500
Quthing,Heavy Rainfall,Low,Spring,41,2.66,0.14,0.2,0.08,7.0,1352500
Maseru,Strong Winds,Moderate,Summer,81,2.65,0.08,0.12,0.05,4.5,2911500
Quthing,Heavy Rainfall,Low,Winter,46,2.89,0.14,0.2,0.08,7.0,2032500
Quthing,Strong Winds,Critical,Summer,446,2.67,0.14,0.2,0.08,7.0,16208500
Thaba-Tseka,Drought,Moderate,Spring,175,1.7,0.16,0.23,0.09,7.5,1254500
Mokhotlong,Drought,Critical,Autumn,321,1.64,0.17,0.24,0.1,8.0,2253000
Berea,Strong Winds,Moderate,Autumn,175,2.5,0.1,0.15,0.06,5.5,6030000
Maseru,Heavy Rainfall,Moderate,Winter,162,2.74,0.08,0.12,0.05,4.5,5889000
Thaba-Tseka,Strong Winds,Moderate,Summer,92,2.75,0.16,0.23,0.09,7.5,3912000
Thaba-Tseka,Drought,Moderate,Spring,167,1.62,0.16,0.23,0.09,7.5,1141000
Thaba-Tseka,Drought,Critical,Summer,339,1.61,0.16,0.23,0.09,7.5,2352000
Thaba-Tseka,Heavy Rainfall,Critical,Spring,217,2.78,0.16,0.23,0.09,7.5,8671500
Mafeteng,Heavy Rainfall,Critical,Winter,369,2.79,0.12,0.18,0.07,6.0,14693000
Leribe,Drought,Critical,Summer,308,1.68,0.11,0.16,0.06,5.5,2009000
Mafeteng,Drought,Low,Spring,32,1.66,0.12,0.18,0.07,6.0,235000
Quthing,Heavy Rainfall,Moderate,Winter,141,2.84,0.14,0.2,0.08,7.0,5138500
Maseru,Drought,Critical,Autumn,224,1.59,0.08,0.12,0.05,4.5,1288500
Mokhotlong,Drought,Critical,Autumn,300,1.62,0.17,0.24,0.1,8.0,2072000
Quthing,Heavy Rainfall,Critical,Spring,256,2.75,0.14,0.2,0.08,7.0,9240500
Qacha's Nek,Heavy Rainfall,Moderate,Spring,91,2.6,0.15,0.22,0.09,7.0,2572000
Mafeteng,Strong Winds,Moderate,Summer,63,2.67,0.12,0.18,0.07,6.0,2855000
Butha-Buthe,Strong Winds,Critical,Spring,339,2.6,0.14,0.19,0.08,6.5,12119000
Maseru,Strong Winds,Critical,Winter,275,2.67,0.08,0.12,0.05,4.5,9662500
Mohale's Hoek,Strong Winds,Moderate,Autumn,135,2.78,0.13,0.19,0.07,6.0,5087500
Mokhotlong,Heavy Rainfall,Critical,Spring,219,2.76,0.17,0.24,0.1,8.0,8235000
Leribe,Strong Winds,Low,Summer,15,2.47,0.11,0.16,0.06,5.5,628500
Maseru,Heavy Rainfall,Moderate,Autumn,134,2.78,0.08,0.12,0.05,4.5,4286500
Mafeteng,Strong Winds,Critical,Summer,274,2.57,0.12,0.18,0.07,6.0,10239500
Berea,Heavy Rainfall,Moderate,Summer,170,2.76,0.1,0.15,0.06,5.5,6156500
Qacha's Nek,Strong Winds,Critical,Summer,228,2.75,0.15,0.22,0.09,7.0,8944500
Thaba-Tseka,Drought,Low,Winter,30,1.67,0.16,0.23,0.09,7.5,206000
Leribe,Strong Winds,Low,Autumn,15,2.93,0.11,0.16,0.06,5.5,522500
Qacha's Nek,Drought,Moderate,Autumn,93,1.57,0.15,0.22,0.09,7.0,640500
Mohale's Hoek,Drought,Critical,Spring,236,1.63,0.13,0.19,0.07,6.0,1592500
Mafeteng,Strong Winds,Low,Spring,37,2.7,0.12,0.18,0.07,6.0,1406500
Qacha's Nek,Strong Winds,Moderate,Summer,72,2.69,0.15,0.22,0.09,7.0,3246000
Butha-Buthe,Strong Winds,Critical,Autumn,388,2.62,0.14,0.19,0.08,6.5,15748500
Berea,Strong Winds,Critical,Winter,215,2.55,0.1,0.15,0.06,5.5,8105500
Maseru,Heavy Rainfall,Critical,Autumn,366,2.74,0.08,0.12,0.05,4.5,13463000
Leribe,Drought,Critical,Spring,345,1.54,0.11,0.16,0.06,5.5,2244000
Leribe,Heavy Rainfall,Critical,Summer,420,2.73,0.11,0.16,0.06,5.5,16223500
Berea,Strong Winds,Moderate,Spring,151,2.65,0.1,0.15,0.06,5.5,4847500
Berea,Strong Winds,Critical,Autumn,262,2.6,0.1,0.15,0.06,5.5,9053000
Mohale's Hoek,Heavy Rainfall,Critical,Autumn,348,2.81,0.13,0.19,0.07,6.0,13319000
Leribe,Heavy Rainfall,Low,Summer,43,2.65,0.11,0.16,0.06,5.5,1386500
Mafeteng,Strong Winds,Low,Winter,10,2.4,0.12,0.18,0.07,6.0,420000
Berea,Strong Winds,Low,Spring,39,2.77,0.1,0.15,0.06,5.5,1303000
Mafeteng,Heavy Rainfall,Low,Summer,50,2.76,0.12,0.18,0.07,6.0,1660500
Thaba-Tseka,Strong Winds,Moderate,Spring,107,2.77,0.16,0.23,0.09,7.5,4863000
Maseru,Strong Winds,Critical,Spring,489,2.66,0.08,0.12,0.05,4.5,19635500
Berea,Heavy Rainfall,Moderate,Summer,162,2.86,0.1,0.15,0.06,5.5,5822000
Berea,Heavy Rainfall,Critical,Winter,208,2.8,0.1,0.15,0.06,5.5,7438500
Thaba-Tseka,Drought,Critical,Winter,218,1.58,0.16,0.23,0.09,7.5,1523500
Maseru,Drought,Critical,Spring,279,1.58,0.08,0.12,0.05,4.5,1615500
Berea,Heavy Rainfall,Critical,Summer,234,2.88,0.1,0.15,0.06,5.5,9454500
Qacha's Nek,Strong Winds,Moderate,Winter,77,2.69,0.15,0.22,0.09,7.0,3234500
Berea,Heavy Rainfall,Low,Summer,43,2.72,0.1,0.15,0.06,5.5,1577000
Mohale's Hoek,Heavy Rainfall,Critical,Summer,471,2.83,0.13,0.19,0.07,6.0,19571000
Mohale's Hoek,Heavy Rainfall,Moderate,Winter,114,2.72,0.13,0.19,0.07,6.0,4730500
Qacha's Nek,Drought,Low,Winter,23,1.65,0.15,0.22,0.09,7.0,154000
Thaba-Tseka,Drought,Critical,Winter,318,1.62,0.16,0.23,0.09,7.5,2224500
Berea,Strong Winds,Critical,Spring,405,2.62,0.1,0.15,0.06,5.5,15463000
Thaba-Tseka,Drought,Moderate,Winter,144,1.69,0.16,0.23,0.09,7.5,1026500
Qacha's Nek,Drought,Critical,Winter,496,1.58,0.15,0.22,0.09,7.0,3405500
Leribe,Heavy Rainfall,Critical,Spring,352,2.79,0.11,0.16,0.06,5.5,13508500
Thaba-Tseka,Strong Winds,Critical,Autumn,333,2.54,0.16,0.23,0.09,7.5,11955500
Mokhotlong,Heavy Rainfall,Low,Summer,13,2.62,0.17,0.24,0.1,8.0,426500
Mohale's Hoek,Strong Winds,Moderate,Spring,109,2.5,0.13,0.19,0.07,6.0,3521000
Butha-Buthe,Strong Winds,Critical,Winter,453,2.55,0.14,0.19,0.08,6.5,17458000
Berea,Drought,Moderate,Summer,60,1.58,0.1,0.15,0.06,5.5,398000
Butha-Buthe,Drought,Low,Spring,22,1.5,0.14,0.19,0.08,6.5,137500
Quthing,Heavy Rainfall,Low,Winter,35,3.03,0.14,0.2,0.08,7.0,1518500
Mafeteng,Heavy Rainfall,Moderate,Summer,154,2.86,0.12,0.18,0.07,6.0,6550500
Mohale's Hoek,Drought,Low,Spring,16,1.75,0.13,0.19,0.07,6.0,117000
Butha-Buthe,Heavy Rainfall,Moderate,Autumn,111,2.76,0.14,0.19,0.08,6.5,4369000
Butha-Buthe,Heavy Rainfall,Critical,Summer,301,2.78,0.14,0.19,0.08,6.5,11024000
Qacha's Nek,Heavy Rainfall,Low,Summer,17,2.71,0.15,0.22,0.09,7.0,472000
Butha-Buthe,Drought,Critical,Summer,351,1.62,0.14,0.19,0.08,6.5,2464000
Thaba-Tseka,Heavy Rainfall,Moderate,Autumn,111,2.79,0.16,0.23,0.09,7.5,4051000
Thaba-Tseka,Drought,Low,Summer,12,2.0,0.16,0.23,0.09,7.5,96500
Qacha's Nek,Heavy Rainfall,Critical,Winter,213,2.93,0.15,0.22,0.09,7.0,9600000
