Disaster_Type,District,Severity,Affected_Population,Affected_Households,Houses_Damaged,Immediate_Needs,Duration_Days,Estimated_Cost_Maloti
Heavy Rainfall,Leribe,Moderate,13956,7345,456,Infrastructure & Relief,113,43042949.501378804
Heavy Rainfall,Qacha's Nek,Moderate,14989,349,33,Infrastructure & Relief,133,14049826.527372746
Heavy Rainfall,Quthing,Severe,23428,4819,302,Infrastructure & Relief,103,45782678.562451184
Heavy Rainfall,Butha-Buthe,Moderate,7449,9621,97,Infrastructure & Relief,166,12041182.305540647
Strong Winds,Qacha's Nek,Moderate,42818,5215,105,Medical Aid,138,26816410.99815778
Strong Winds,Thaba-Tseka,Moderate,20463,6071,68,Relief Supplies,126,19243883.468195267
Drought,Leribe,Low,6754,860,0,Food & Water Relief,270,13137484.908142364
Heavy Rainfall,Qacha's Nek,Severe,45915,8572,666,Infrastructure & Relief,5,54994004.43501562
Heavy Rainfall,Thaba-Tseka,Severe,37168,6777,404,Infrastructure & Relief,177,59293678.35307196
Heavy Rainfall,Thaba-Tseka,Severe,47392,7340,793,Infrastructure & Relief,63,92159741.59841385
Strong Winds,Berea,Low,30221,1376,46,Medical Aid,28,4316196.432682838
Drought,Qacha's Nek,Low,49013,464,0,Food & Water Relief,300,99050328.17998567
Drought,Butha-Buthe,Low,40941,7049,0,Food & Water Relief,150,59206578.338074505
Drought,Maseru,Low,10767,9005,0,Food & Water Relief,270,30859698.648630567
Heavy Rainfall,Quthing,Severe,39556,3696,211,Infrastructure & Relief,111,41340367.77058616
Heavy Rainfall,Butha-Buthe,Severe,13410,8043,935,Infrastructure & Relief,26,61056301.537158206
Heavy Rainfall,Qacha's Nek,Severe,11054,976,69,Infrastructure & Relief,112,10916371.70212854
Heavy Rainfall,Qacha's Nek,Moderate,27946,9452,758,Infrastructure & Relief,6,62178727.80854933
Heavy Rainfall,Mafeteng,Severe,14543,8295,645,Infrastructure & Relief,79,59860951.85366629
Drought,Qacha's Nek,Low,48653,6416,0,Food & Water Relief,210,78471978.43659903
Drought,Mafeteng,Low,49876,4308,0,Food & Water Relief,90,51676884.350973174
Strong Winds,Mafeteng,Low,40256,2126,2,Shelter,5,6606592.590912519
Drought,Thaba-Tseka,Low,2719,7141,0,Food & Water Relief,300,15925677.128031585
Strong Winds,Quthing,Low,19716,2924,37,Medical Aid,69,6326847.222148496
Heavy Rainfall,Butha-Buthe,Moderate,2408,8667,587,Infrastructure & Relief,93,48027475.12687449
Drought,Quthing,Low,31023,7041,0,Food & Water Relief,150,41978442.91666566
Drought,Thaba-Tseka,Low,21111,700,0,Food & Water Relief,330,79520558.4581068
Heavy Rainfall,Leribe,Low,8304,6665,22,Infrastructure & Relief,53,5244383.395900197
Drought,Mokhotlong,Low,2470,8489,0,Food & Water Relief,240,15883574.938115165
Heavy Rainfall,Mafeteng,Severe,15874,5842,668,Infrastructure & Relief,97,67524969.74587312
Strong Winds,Maseru,Low,32654,1050,32,Relief Supplies,5,4744639.7719860105
Drought,Thaba-Tseka,Low,44372,6128,0,Food & Water Relief,180,82054074.4350103
Drought,Qacha's Nek,Low,14882,2471,0,Food & Water Relief,120,13317191.370248586
Heavy Rainfall,Maseru,Severe,6279,6266,345,Infrastructure & Relief,111,28998963.18574359
Drought,Mafeteng,Low,15843,3976,0,Food & Water Relief,300,57758503.563251436
Drought,Thaba-Tseka,Low,21030,7296,0,Food & Water Relief,300,90028480.15384443
Strong Winds,Maseru,Moderate,36744,3517,109,Relief Supplies,55,14371218.66660776
Drought,Qacha's Nek,Low,3208,7212,0,Food & Water Relief,210,15520643.052555613
Strong Winds,Thaba-Tseka,Moderate,13724,8070,574,Shelter,135,64915497.06494413
Heavy Rainfall,Butha-Buthe,Moderate,36868,6883,762,Infrastructure & Relief,88,62162629.90680833
Strong Winds,Berea,Moderate,37648,4857,153,Relief Supplies,84,16675052.866766257
Strong Winds,Berea,Moderate,37511,3801,341,Medical Aid,1,29405804.316928387
Strong Winds,Mokhotlong,Low,2982,8158,722,Relief Supplies,173,29992814.692389764
Strong Winds,Qacha's Nek,Low,24070,2165,0,Relief Supplies,113,7245750.675172116
Heavy Rainfall,Mohale's Hoek,Severe,26022,5026,263,Infrastructure & Relief,110,36930584.46874316
Heavy Rainfall,Berea,Moderate,47690,154,17,Infrastructure & Relief,72,22746628.795137674
Heavy Rainfall,Quthing,Severe,20194,3400,66,Infrastructure & Relief,88,26358278.733767886
Heavy Rainfall,Qacha's Nek,Moderate,48417,2638,164,Infrastructure & Relief,74,27814859.47279146
Drought,Berea,Low,2698,4342,0,Food & Water Relief,150,8715466.396376247
Heavy Rainfall,Berea,Severe,23736,6135,522,Infrastructure & Relief,5,49070521.94130376
Strong Winds,Mohale's Hoek,Low,1779,7183,499,Relief Supplies,158,25592408.208213706
Drought,Mokhotlong,Low,21107,4931,0,Food & Water Relief,90,23720091.447735522
Strong Winds,Qacha's Nek,Moderate,37301,8528,280,Medical Aid,4,40571738.55203755
Heavy Rainfall,Thaba-Tseka,Severe,11872,9096,74,Infrastructure & Relief,34,19914551.066675268
Strong Winds,Maseru,Moderate,32396,7241,377,Medical Aid,27,24839564.366003845
Strong Winds,Mohale's Hoek,Moderate,29902,4363,97,Shelter,173,13260221.045994055
Strong Winds,Thaba-Tseka,Moderate,36296,7743,701,Relief Supplies,54,46125773.18412393
Drought,Berea,Low,19750,4888,0,Food & Water Relief,180,45868062.603759356
Drought,Qacha's Nek,Low,24563,6919,0,Food & Water Relief,90,33756648.641831085
Heavy Rainfall,Butha-Buthe,Moderate,23650,2811,245,Infrastructure & Relief,81,30189106.517380916
Heavy Rainfall,Butha-Buthe,Low,47804,253,1,Infrastructure & Relief,171,26625144.20027371
Heavy Rainfall,Quthing,Moderate,13850,8070,130,Infrastructure & Relief,12,12652055.399267979
Drought,Maseru,Low,49582,4190,0,Food & Water Relief,90,36455300.53117712
Drought,Berea,Low,20991,1441,0,Food & Water Relief,300,76924763.96710116
Strong Winds,Mokhotlong,Low,2921,7219,709,Shelter,59,44207308.61046323
Heavy Rainfall,Quthing,Severe,47117,8338,777,Infrastructure & Relief,135,93874603.29319613
Heavy Rainfall,Maseru,Severe,24570,4332,497,Infrastructure & Relief,146,52714296.10986385
Drought,Thaba-Tseka,Low,1114,5492,0,Food & Water Relief,300,6405394.615201735
Heavy Rainfall,Leribe,Moderate,30366,3083,182,Infrastructure & Relief,153,31215770.864059567
Strong Winds,Butha-Buthe,Moderate,48788,8784,425,Relief Supplies,34,42438973.14089222
Heavy Rainfall,Mokhotlong,Severe,10496,3910,378,Infrastructure & Relief,16,36272711.733292714
Drought,Quthing,Low,37629,7169,0,Food & Water Relief,330,111624471.58917706
Strong Winds,Berea,Low,2550,1265,119,Relief Supplies,37,7865470.271012968
Strong Winds,Berea,Moderate,25057,2732,139,Medical Aid,171,18393146.142068543
Heavy Rainfall,Mokhotlong,Severe,41470,1968,225,Infrastructure & Relief,63,53782305.17418397
Heavy Rainfall,Maseru,Moderate,36832,1489,73,Infrastructure & Relief,120,33724945.508406684
Heavy Rainfall,Maseru,Severe,8745,7314,726,Infrastructure & Relief,163,69849564.28637543
Heavy Rainfall,Butha-Buthe,Severe,27185,7412,215,Infrastructure & Relief,89,39043249.66809532
Strong Winds,Mafeteng,Moderate,35201,1480,97,Medical Aid,29,8148650.812488169
Strong Winds,Leribe,Moderate,38284,6981,331,Relief Supplies,5,41455100.452291906
Drought,Butha-Buthe,Low,26059,7391,0,Food & Water Relief,240,57825479.09562633
Heavy Rainfall,Butha-Buthe,Severe,29625,8328,972,Infrastructure & Relief,62,101969106.09434213
Strong Winds,Leribe,Low,19629,1691,39,Relief Supplies,33,8450074.886218028
Heavy Rainfall,Qacha's Nek,Moderate,7814,2483,167,Infrastructure & Relief,45,13528049.552362408
Strong Winds,Maseru,Moderate,46749,4386,154,Relief Supplies,45,24691514.55332992
Heavy Rainfall,Quthing,Moderate,49638,5250,534,Infrastructure & Relief,82,78122945.15392159
Heavy Rainfall,Mokhotlong,Severe,10677,5443,524,Infrastructure & Relief,88,53268816.35223546
Strong Winds,Leribe,Low,1507,5545,466,Relief Supplies,63,23782086.182714026
Drought,Maseru,Low,5584,377,0,Food & Water Relief,180,8018471.108096132
Drought,Berea,Low,15359,9209,0,Food & Water Relief,90,22675404.144865315
Heavy Rainfall,Qacha's Nek,Severe,49646,6453,305,Infrastructure & Relief,125,57972065.15950693
Drought,Berea,Low,8313,9745,0,Food & Water Relief,120,23356732.76010061
Strong Winds,Quthing,Moderate,16922,3442,284,Shelter,175,24500301.952838216
Heavy Rainfall,Mafeteng,Moderate,3593,5758,706,Infrastructure & Relief,101,42421014.350064464
Drought,Mafeteng,Low,49401,1782,0,Food & Water Relief,330,152602901.6381055
Heavy Rainfall,Mohale's Hoek,Moderate,20482,2080,162,Infrastructure & Relief,27,27316383.123520166
Heavy Rainfall,Quthing,Moderate,6276,3776,308,Infrastructure & Relief,93,22826511.392942164
Strong Winds,Qacha's Nek,Moderate,45359,4573,386,Relief Supplies,17,20988454.993644852
Heavy Rainfall,Mafeteng,Severe,35031,8812,1016,Infrastructure & Relief,72,96113785.08130074
Drought,Berea,Low,37435,8565,0,Food & Water Relief,120,52844852.93894401
Drought,Quthing,Low,21081,3596,0,Food & Water Relief,300,78298631.70574042
Strong Winds,Berea,Moderate,39999,3217,159,Medical Aid,148,17743704.900524
Strong Winds,Thaba-Tseka,Moderate,9627,6147,241,Shelter,158,20255116.447244406
Strong Winds,Mafeteng,Moderate,43701,7114,89,Relief Supplies,106,34891409.20504813
Drought,Berea,Low,6590,8608,0,Food & Water Relief,150,22798126.942075334
Strong Winds,Mokhotlong,Low,26515,652,7,Relief Supplies,111,2914541.9868137413
Drought,Mokhotlong,Low,33726,307,0,Food & Water Relief,180,64845843.00858631
Drought,Leribe,Low,21788,7967,0,Food & Water Relief,120,22292456.00467857
Strong Winds,Quthing,Moderate,14112,1366,121,Medical Aid,136,9636691.179310534
Strong Winds,Mokhotlong,Low,2856,4890,287,Medical Aid,150,12461038.600676
Strong Winds,Qacha's Nek,Low,3420,9374,642,Relief Supplies,97,33516327.885991506
Drought,Berea,Low,7505,258,0,Food & Water Relief,300,21209903.248992465
Heavy Rainfall,Mafeteng,Severe,34223,6395,561,Infrastructure & Relief,66,65975176.93598372
Drought,Butha-Buthe,Low,11671,1494,0,Food & Water Relief,240,25765104.312692992
Heavy Rainfall,Qacha's Nek,Severe,19842,8004,866,Infrastructure & Relief,14,72872836.25600187
Heavy Rainfall,Butha-Buthe,Moderate,33642,4748,317,Infrastructure & Relief,84,40930063.42085856
Heavy Rainfall,Mokhotlong,Severe,46393,3316,378,Infrastructure & Relief,168,46416444.829967596
Strong Winds,Mokhotlong,Moderate,36642,6530,394,Relief Supplies,93,24248759.88197637
Heavy Rainfall,Quthing,Severe,42740,6376,275,Infrastructure & Relief,28,46095223.41709785
Strong Winds,Maseru,Low,6616,3668,119,Medical Aid,148,10962832.278262809
Heavy Rainfall,Butha-Buthe,Low,1468,9608,1043,Infrastructure & Relief,59,41725630.846523814
Strong Winds,Berea,Low,9700,1329,11,Relief Supplies,43,4434452.963756613
Heavy Rainfall,Butha-Buthe,Severe,45772,7573,796,Infrastructure & Relief,172,81703298.81693043
Heavy Rainfall,Mafeteng,Severe,39562,6627,637,Infrastructure & Relief,85,74121043.9564811
Strong Winds,Mokhotlong,Moderate,43259,6912,351,Relief Supplies,34,31046555.98847377
Strong Winds,Mokhotlong,Moderate,38506,6189,413,Relief Supplies,47,40127367.05385937
Strong Winds,Qacha's Nek,Moderate,37708,5009,451,Shelter,142,42055328.9018496
Strong Winds,Maseru,Moderate,27484,8225,219,Relief Supplies,73,24672194.21729266
Strong Winds,Quthing,Moderate,22092,7024,584,Shelter,68,51568472.770639956
Heavy Rainfall,Mohale's Hoek,Moderate,29665,1767,101,Infrastructure & Relief,109,23202310.425737754
Drought,Berea,Low,1867,8289,0,Food & Water Relief,240,12279430.107211035
Strong Winds,Thaba-Tseka,Moderate,38074,2290,148,Medical Aid,49,12168944.360019863
Strong Winds,Leribe,Moderate,22943,7110,621,Relief Supplies,3,47341636.90177651
Strong Winds,Thaba-Tseka,Low,6971,2963,116,Shelter,48,10523166.144665072
Strong Winds,Mafeteng,Moderate,44290,8334,342,Relief Supplies,171,48306941.642140016
Strong Winds,Maseru,Moderate,33674,9306,335,Medical Aid,36,54025204.09992685
Drought,Leribe,Low,45314,240,0,Food & Water Relief,240,78711017.96616247
Strong Winds,Mafeteng,Moderate,27617,3710,156,Medical Aid,106,19084217.543639682
Heavy Rainfall,Butha-Buthe,Moderate,12789,6887,89,Infrastructure & Relief,141,11452253.058544759
Drought,Mokhotlong,Low,23986,2459,0,Food & Water Relief,90,24559051.060135815
Heavy Rainfall,Mokhotlong,Severe,42868,5391,375,Infrastructure & Relief,21,48569070.89435962
Heavy Rainfall,Quthing,Moderate,37884,109,7,Infrastructure & Relief,154,20436113.325451113
Drought,Maseru,Low,45605,6907,0,Food & Water Relief,150,95117449.5668529
Strong Winds,Butha-Buthe,Moderate,38278,3140,241,Shelter,161,19845528.05859936
Drought,Maseru,Low,49604,8953,0,Food & Water Relief,210,124010766.27741478
Drought,Thaba-Tseka,Low,9660,1200,0,Food & Water Relief,330,33191954.229851693
Drought,Mokhotlong,Low,28982,9869,0,Food & Water Relief,240,77067248.04567412
Drought,Mokhotlong,Low,44811,2449,0,Food & Water Relief,150,73681450.48695731
Drought,Mafeteng,Low,46299,7943,0,Food & Water Relief,150,69186981.1772373
Heavy Rainfall,Quthing,Severe,7204,3813,443,Infrastructure & Relief,50,36907373.75882211
Drought,Mohale's Hoek,Low,41247,2528,0,Food & Water Relief,150,46081724.698860906
Heavy Rainfall,Mohale's Hoek,Severe,10186,4311,263,Infrastructure & Relief,47,29833352.139343932
Strong Winds,Mokhotlong,Low,707,2765,157,Shelter,144,7804704.0852963915
Drought,Mokhotlong,Low,37711,6870,0,Food & Water Relief,300,73739129.58326335
Strong Winds,Quthing,Low,17169,248,19,Relief Supplies,32,1389737.9064597813
Strong Winds,Maseru,Moderate,11523,9815,737,Shelter,114,44226971.858780645
Strong Winds,Butha-Buthe,Low,19292,440,1,Medical Aid,67,1462365.893319588
Heavy Rainfall,Mokhotlong,Severe,18573,3367,310,Infrastructure & Relief,12,40242467.55718799
Drought,Berea,Low,12829,8885,0,Food & Water Relief,150,31177733.144750938
Heavy Rainfall,Mohale's Hoek,Moderate,28995,7793,72,Infrastructure & Relief,20,16320487.650560739
Heavy Rainfall,Thaba-Tseka,Severe,6156,9084,252,Infrastructure & Relief,54,29185386.253230263
Heavy Rainfall,Mafeteng,Moderate,11638,2630,24,Infrastructure & Relief,79,8941459.47223555
Strong Winds,Mafeteng,Low,35762,2819,42,Relief Supplies,31,8710853.958003502
Drought,Maseru,Low,43413,6588,0,Food & Water Relief,120,58743031.04738733
Drought,Qacha's Nek,Low,30658,8748,0,Food & Water Relief,270,68604160.65614225
Strong Winds,Leribe,Moderate,6906,8691,763,Shelter,17,72146750.34338401
Strong Winds,Mokhotlong,Moderate,34671,9111,220,Relief Supplies,116,25678116.460076895
Drought,Leribe,Low,31738,1649,0,Food & Water Relief,270,102587853.49269457
Heavy Rainfall,Mokhotlong,Low,4981,7998,404,Infrastructure & Relief,167,13492794.759044528
Strong Winds,Berea,Moderate,23240,8533,492,Shelter,160,29475241.668519694
Strong Winds,Leribe,Moderate,5295,4898,404,Medical Aid,34,21134887.089047726
Heavy Rainfall,Qacha's Nek,Severe,7894,9751,553,Infrastructure & Relief,137,57566470.14709956
Strong Winds,Berea,Low,4131,6272,96,Relief Supplies,21,17296244.846287135
Drought,Mokhotlong,Low,27925,875,0,Food & Water Relief,240,74266026.96903692
Drought,Qacha's Nek,Low,31686,7183,0,Food & Water Relief,90,30812232.069444727
Strong Winds,Mokhotlong,Moderate,36724,7888,434,Medical Aid,21,49220467.56055058
Heavy Rainfall,Mafeteng,Severe,10366,4631,398,Infrastructure & Relief,5,39343687.0542131
Heavy Rainfall,Mohale's Hoek,Moderate,11259,5539,137,Infrastructure & Relief,104,14180421.980404798
Strong Winds,Quthing,Moderate,31682,9254,560,Relief Supplies,122,33774063.92517155
Drought,Butha-Buthe,Low,47357,2296,0,Food & Water Relief,180,72055771.6642793
Heavy Rainfall,Maseru,Severe,39571,4083,287,Infrastructure & Relief,146,32112232.885092817
Drought,Quthing,Low,22668,4683,0,Food & Water Relief,330,55885221.825031064
Strong Winds,Leribe,Moderate,33953,2260,119,Shelter,119,13669712.985228263
Drought,Berea,Low,38143,1356,0,Food & Water Relief,120,51168075.73930464
Heavy Rainfall,Qacha's Nek,Severe,33569,7627,237,Infrastructure & Relief,89,39153445.141895734
Heavy Rainfall,Butha-Buthe,Severe,13557,4658,435,Infrastructure & Relief,22,40348950.349342816
Drought,Maseru,Low,2224,1476,0,Food & Water Relief,300,8503409.608078564
Drought,Mokhotlong,Low,39519,9596,0,Food & Water Relief,210,66902879.6726294
Strong Winds,Maseru,Moderate,17332,6119,103,Medical Aid,10,29922067.764488366
Strong Winds,Mokhotlong,Moderate,14542,9214,65,Shelter,164,33428193.920864996
Heavy Rainfall,Thaba-Tseka,Severe,19533,8605,565,Infrastructure & Relief,20,49702862.70151903
Drought,Leribe,Low,24786,5210,0,Food & Water Relief,240,84801233.46438551
Drought,Mafeteng,Low,42503,2029,0,Food & Water Relief,300,95712571.69365124
Heavy Rainfall,Maseru,Severe,13609,2123,201,Infrastructure & Relief,119,25262656.311854564
Drought,Mafeteng,Low,36560,3686,0,Food & Water Relief,300,73625455.09988679
Heavy Rainfall,Qacha's Nek,Low,661,693,18,Infrastructure & Relief,150,1378771.147430166
Strong Winds,Thaba-Tseka,Moderate,38361,967,63,Medical Aid,113,4217866.498417316
Drought,Berea,Low,34437,930,0,Food & Water Relief,180,39377921.23320917
Drought,Quthing,Low,34287,5337,0,Food & Water Relief,90,34539777.59791823
Drought,Mohale's Hoek,Low,30754,2225,0,Food & Water Relief,270,88622846.44389041
Strong Winds,Mafeteng,Low,30768,8429,49,Medical Aid,118,14105029.709621528
Strong Winds,Mohale's Hoek,Low,25070,2000,50,Shelter,154,9747164.190838084
Drought,Maseru,Low,8499,6152,0,Food & Water Relief,180,25126263.962142132
Strong Winds,Mafeteng,Moderate,49209,9917,259,Relief Supplies,129,43295825.380331405
Strong Winds,Mafeteng,Moderate,43321,785,59,Shelter,36,5565762.543736808
Strong Winds,Qacha's Nek,Moderate,9567,4813,413,Relief Supplies,14,24407092.544340603
Heavy Rainfall,Mohale's Hoek,Severe,35282,9933,204,Infrastructure & Relief,82,31386690.4755675
Heavy Rainfall,Quthing,Moderate,16392,789,32,Infrastructure & Relief,148,13458893.896444108
Drought,Mokhotlong,Low,12429,2639,0,Food & Water Relief,300,32546889.48625248
Heavy Rainfall,Maseru,Severe,28728,3770,217,Infrastructure & Relief,140,39743307.69057816
Strong Winds,Quthing,Moderate,6804,7445,628,Medical Aid,33,52972604.510238126
Strong Winds,Qacha's Nek,Low,32816,672,27,Relief Supplies,177,3421565.739759047
Strong Winds,Butha-Buthe,Moderate,12985,3748,329,Shelter,57,23719209.998848617
Heavy Rainfall,Thaba-Tseka,Low,597,3850,85,Infrastructure & Relief,99,4225712.674224271
Drought,Berea,Low,38323,2424,0,Food & Water Relief,180,73193723.25040856
Heavy Rainfall,Qacha's Nek,Severe,11483,1849,115,Infrastructure & Relief,26,21283979.79344705
Strong Winds,Butha-Buthe,Moderate,16780,5979,253,Medical Aid,6,32317460.97693184
Drought,Mafeteng,Low,26890,6844,0,Food & Water Relief,120,27379104.88415073
Drought,Qacha's Nek,Low,6911,107,0,Food & Water Relief,300,18315266.650740143
Strong Winds,Maseru,Moderate,7739,6810,558,Medical Aid,42,49635249.50509
Heavy Rainfall,Butha-Buthe,Severe,19706,5043,386,Infrastructure & Relief,129,43948026.008177966
Drought,Qacha's Nek,Low,33880,787,0,Food & Water Relief,210,67011181.68745602
Heavy Rainfall,Leribe,Low,3091,7283,128,Infrastructure & Relief,4,8647544.077555206
Heavy Rainfall,Thaba-Tseka,Moderate,26670,8538,130,Infrastructure & Relief,133,20200753.01298122
Drought,Quthing,Low,10087,745,0,Food & Water Relief,150,19591826.894022513
Heavy Rainfall,Quthing,Severe,44232,9446,587,Infrastructure & Relief,161,71642987.97001863
Strong Winds,Leribe,Moderate,18599,6550,337,Relief Supplies,128,33405037.295600064
Heavy Rainfall,Berea,Severe,7480,6863,650,Infrastructure & Relief,162,44710397.16300959
Heavy Rainfall,Leribe,Low,9627,255,14,Infrastructure & Relief,87,7824760.972204377
Drought,Leribe,Low,33709,6140,0,Food & Water Relief,240,73231908.39408715
Strong Winds,Maseru,Moderate,44833,8279,653,Shelter,77,64095951.918718025
